,ori,data_year,offense,state_abbr,cleared,actual
19,AK0012200,2013,violent-crime,AK,60,63
0,AK0010100,2014,violent-crime,AK,1278,2605
1,AK0010200,2014,violent-crime,AK,97,214
2,AK0010300,2014,violent-crime,AK,119,189
3,AK0010400,2014,violent-crime,AK,18,29
4,AK0010500,2014,violent-crime,AK,24,42
5,AK0010600,2014,violent-crime,AK,40,48
6,AK0010700,2014,violent-crime,AK,6,6
7,AK0010800,2014,violent-crime,AK,16,28
8,AK0010900,2014,violent-crime,AK,6,6
9,AK0011000,2014,violent-crime,AK,0,0
10,AK0011100,2014,violent-crime,AK,3,5
11,AK0011200,2014,violent-crime,AK,14,19
12,AK0011300,2014,violent-crime,AK,37,56
13,AK0011400,2014,violent-crime,AK,7,8
14,AK0011600,2014,violent-crime,AK,39,49
15,AK0011700,2014,violent-crime,AK,12,12
16,AK0011800,2014,violent-crime,AK,31,74
17,AK0012000,2014,violent-crime,AK,15,18
18,AK0012100,2014,violent-crime,AK,4,4
19,AK0012200,2014,violent-crime,AK,32,32
0,AK0010100,2015,violent-crime,AK,1445,3226
1,AK0010200,2015,violent-crime,AK,75,157
2,AK0010300,2015,violent-crime,AK,193,285
3,AK0010400,2015,violent-crime,AK,18,31
4,AK0010500,2015,violent-crime,AK,23,47
5,AK0010600,2015,violent-crime,AK,40,47
6,AK0010700,2015,violent-crime,AK,7,10
7,AK0010800,2015,violent-crime,AK,9,13
8,AK0010900,2015,violent-crime,AK,13,14
9,AK0011000,2015,violent-crime,AK,0,0
10,AK0011100,2015,violent-crime,AK,1,1
11,AK0011200,2015,violent-crime,AK,5,12
12,AK0011300,2015,violent-crime,AK,42,94
13,AK0011400,2015,violent-crime,AK,6,6
14,AK0011600,2015,violent-crime,AK,81,87
15,AK0011700,2015,violent-crime,AK,21,22
16,AK0011800,2015,violent-crime,AK,22,80
17,AK0012000,2015,violent-crime,AK,22,30
18,AK0012100,2015,violent-crime,AK,8,10
19,AK0012200,2015,violent-crime,AK,7,7
0,AK0010100,2016,violent-crime,AK,1513,3422
1,AK0010200,2016,violent-crime,AK,100,223
2,AK0010300,2016,violent-crime,AK,186,282
3,AK0010400,2016,violent-crime,AK,18,30
4,AK0010500,2016,violent-crime,AK,32,62
5,AK0010600,2016,violent-crime,AK,42,49
6,AK0010700,2016,violent-crime,AK,12,13
7,AK0010800,2016,violent-crime,AK,1,24
8,AK0010900,2016,violent-crime,AK,8,12
9,AK0011000,2016,violent-crime,AK,1,4
10,AK0011100,2016,violent-crime,AK,0,0
11,AK0011200,2016,violent-crime,AK,5,7
12,AK0011300,2016,violent-crime,AK,66,141
13,AK0011400,2016,violent-crime,AK,5,5
14,AK0011600,2016,violent-crime,AK,76,111
15,AK0011700,2016,violent-crime,AK,22,26
16,AK0011800,2016,violent-crime,AK,25,83
